State,County,FIPS,State population age 18-64,State disability population age 18-64,State disability prevalence,State DI disabled workers,"State DI disabled workers per 1,000 persons age 18-64",State SSI recipients age 18-64,"State SSI recipients per 1,000 persons age 18-64",County population age 18-64,County disability population age 18-64,County disability prevalence,County DI disabled workers,"County DI disabled workers per 1,000 persons age 18-64",County SSI recipients age 18-64,"County SSI recipients per 1,000 persons age 18-64"
New Mexico,Rio Arriba,35039,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,22763,3143,13.807494618459781,1915,84.12775117515265,968,42.52515046347143
New Mexico,Roosevelt,35041,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,11325,1699,15.002207505518763,485,42.82560706401766,275,24.282560706401764
New Mexico,Sandoval,35043,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,83299,8683,10.423894644593574,4135,49.64045186616886,1197,14.369920407207768
New Mexico,San Juan,35045,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,74403,9769,13.129846914774943,3565,47.91473462091582,1762,23.68184078598981
New Mexico,San Miguel,35047,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,16467,4463,27.102690228942734,1515,92.00218619056294,998,60.60606060606061
New Mexico,Santa Fe,35049,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,86768,8387,9.66600590079292,3870,44.601696477964225,1261,14.533007560390926
New Mexico,Sierra,35051,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,5344,1148,21.482035928143713,655,122.56736526946108,339,63.43562874251497
New Mexico,Socorro,35053,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,9910,2510,25.327951564076688,755,76.18567103935418,498,50.25227043390515
New Mexico,Taos,35055,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,18791,3196,17.008142195732,1325,70.51247937842584,573,30.493321270821138
New Mexico,Torrance,35057,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,8840,1335,15.10180995475113,740,83.710407239819,339,38.34841628959276
New Mexico,Union,35059,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,1952,391,20.03073770491803,120,61.47540983606557,NA,NA
New Mexico,Valencia,35061,1228122,158425,12.89977705797958,63955,52.07544527335232,29093,23.999432454214812,43779,7763,17.732246054044175,3010,68.7544256378629,1272,29.05502638251216
New York,Albany,36001,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,199492,17803,8.924167385158302,8610,43.159625448639545,3534,17.714996090068777
New York,Allegany,36003,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,28798,3653,12.684908674213489,1770,61.462601569553435,810,28.126953260643102
New York,Bronx,36005,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,890955,116970,13.128609189016279,39975,44.86758590501204,33772,37.90539365063331
New York,Broome,36007,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,119571,15465,12.933738113756679,7395,61.84609980680934,3419,28.593889822783115
New York,Cattaraugus,36009,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,45870,6013,13.108785698713756,3330,72.59646827992151,1474,32.13429256594724
